rxnID	coefficient	name_GEM	type	compartment
R06513	1	dTDP-alpha-D-glucose	reactant	cytoplasm
R06513	1	H2O	product	cytoplasm
R06513	1	dTDP-4-dehydro-6-deoxy-alpha-D-glucose	product	cytoplasm
R01157	1	urea	reactant	cytoplasm
R01157	1	putrescine	reactant	cytoplasm
R01157	1	H2O	product	cytoplasm
R01157	1	agmatine	product	cytoplasm
R02454	1	D-mannonate	reactant	cytoplasm
R02454	1	NAD	reactant	cytoplasm
R02454	1	H+	product	cytoplasm
R02454	1	NADH	product	cytoplasm
R02454	1	D-fructuronate	product	cytoplasm
R07346	1	H+	reactant	cytoplasm
R07346	1	L-sorbose	reactant	cytoplasm
R07346	1	NADPH	reactant	cytoplasm
R07346	1	D-glucitol	product	cytoplasm
R07346	1	NADP(+)	product	cytoplasm
R01101	1	beta-D-Glucose	reactant	cytoplasm
R01101	1	D-galactose	reactant	cytoplasm
R01101	1	melibiose	product	cytoplasm
R01101	1	H2O	product	cytoplasm
R01103	1	sucrose	reactant	cytoplasm
R01103	1	D-galactose	reactant	cytoplasm
R01103	1	H2O	product	cytoplasm
R01103	1	raffinose	product	cytoplasm
R01104	1	H2O	reactant	cytoplasm
R01104	1	3-beta-D-galactosyl-sn-glycerol	reactant	cytoplasm
R01104	1	D-galactose	product	cytoplasm
R01104	1	glycerol	product	cytoplasm
R01194	1	myo-inositol	reactant	cytoplasm
R01194	1	D-galactose	reactant	cytoplasm
R01194	1	H2O	product	cytoplasm
R01194	1	alpha-D-galactosyl-(1->3)-1D-myo-inositol	product	cytoplasm
R01329	1	D-mannose	reactant	cytoplasm
R01329	1	D-galactose	reactant	cytoplasm
R01329	1	H2O	product	cytoplasm
R01329	1	epimelibiose	product	cytoplasm
R02926	1	H2O	reactant	cytoplasm
R02926	1	melibiitol	reactant	cytoplasm
R02926	1	D-galactose	product	cytoplasm
R02926	1	D-glucitol	product	cytoplasm
R04019	5	H+	reactant	cytoplasm
R04019	1	digalactosylceramide	reactant	cytoplasm
R04019	1	H2O	reactant	cytoplasm
R04019	1	D-galactose	product	cytoplasm
R04019	1	an N-acyl-beta-D-galactosyl-sphing-4-enine	product	cytoplasm
R04470	1	1,2-diacyl-3-O-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol	reactant	cytoplasm
R04470	1	H2O	reactant	cytoplasm
R04470	1	D-galactose	product	cytoplasm
R04470	1	a 1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol	product	cytoplasm
R05549	1	melibiose	reactant	cytoplasm
R05549	1	D-galactose	reactant	cytoplasm
R05549	1	H2O	product	cytoplasm
R05549	1	manninotriose	product	cytoplasm
R05961	1	beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)-N-acylsphing-4-enine	reactant	cytoplasm
R05961	1	D-galactose	reactant	cytoplasm
R05961	1	H2O	product	cytoplasm
R05961	1	an alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)-N-acylsphing-4-enine	product	cytoplasm
R06091	1	melibiose	reactant	cytoplasm
R06091	1	H2O	reactant	cytoplasm
R06091	1	D-galactose	product	cytoplasm
R06091	1	D-glucose	product	cytoplasm
R00465	1	H+	reactant	cytoplasm
R00465	1	NADPH	reactant	cytoplasm
R00465	1	glyoxylate	reactant	cytoplasm
R00465	1	glycolate	product	cytoplasm
R00465	1	NADP(+)	product	cytoplasm
R01392	1	D-Glycerate	reactant	cytoplasm
R01392	1	NADP(+)	reactant	cytoplasm
R01392	1	H+	product	cytoplasm
R01392	1	3-hydroxypyruvate	product	cytoplasm
R01392	1	NADPH	product	cytoplasm
R01739	1	H+	reactant	cytoplasm
R01739	1	2-dehydro-D-gluconate	reactant	cytoplasm
R01739	1	NADPH	reactant	cytoplasm
R01739	1	D-gluconate	product	cytoplasm
R01739	1	NADP(+)	product	cytoplasm
R01602	1	beta-D-Glucose	reactant	cytoplasm
R01602	1	alpha-D-Glucose	product	cytoplasm
R10619	1	D-galactose	reactant	cytoplasm
R10619	1	beta-D-galactose	product	cytoplasm
R07013	1	1,2-dihydronaphthalene-1,2-diol	reactant	cytoplasm
